Date: 2025-04-24 14:30:32s, Time_Cost: 1005s, Epoch: [65/250], Train_PSNR: -0.43, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 14:47:21s, Time_Cost: 1009s, Epoch: [66/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 15:04:05s, Time_Cost: 1004s, Epoch: [67/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 15:20:52s, Time_Cost: 1007s, Epoch: [68/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 15:37:36s, Time_Cost: 1004s, Epoch: [69/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 15:54:19s, Time_Cost: 1002s, Epoch: [70/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 16:11:01s, Time_Cost: 1002s, Epoch: [71/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 16:27:44s, Time_Cost: 1003s, Epoch: [72/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 16:44:27s, Time_Cost: 1003s, Epoch: [73/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 17:01:13s, Time_Cost: 1005s, Epoch: [74/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 17:17:58s, Time_Cost: 1006s, Epoch: [75/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 17:34:44s, Time_Cost: 1005s, Epoch: [76/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 17:51:31s, Time_Cost: 1007s, Epoch: [77/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 18:08:14s, Time_Cost: 1002s, Epoch: [78/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 18:24:56s, Time_Cost: 1002s, Epoch: [79/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 18:41:42s, Time_Cost: 1007s, Epoch: [80/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 18:58:29s, Time_Cost: 1006s, Epoch: [81/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 19:15:12s, Time_Cost: 1004s, Epoch: [82/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 19:31:59s, Time_Cost: 1007s, Epoch: [83/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 19:48:46s, Time_Cost: 1007s, Epoch: [84/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
Date: 2025-04-24 20:05:32s, Time_Cost: 1006s, Epoch: [85/250], Train_PSNR: -0.44, Val_PSNR: 9.35, Val_SSIM: 0.0057
